path,rel,dataset,kind,gain_label,frames,bytes,aligned,fn,shutter_us,sensor_gain_code,sensor_gain_x,isp_gain_code,isp_gain_x,bv,r_gain,g_gain,b_gain,nominal_gain_x
"D:\zhuo mian\Sigmastar_7_30\mis20s1_calibrationdata\black\100\raw_stream_normal_1920x1080_16_GR_0205175115888_[FN=10,US=83317,AG=1024,DG=1024,BV=-168611,R=2631,G=1024,B=1986].raw","mis20s1_calibrationdata\black\100\raw_stream_normal_1920x1080_16_GR_0205175115888_[FN=10,US=83317,AG=1024,DG=1024,BV=-168611,R=2631,G=1024,B=1986].raw",calibration,black,100,50,207360000,True,10,83317,1024,1.0,1024,1.0,-168611,2631,1024,1986,1.0
"D:\zhuo mian\Sigmastar_7_30\mis20s1_calibrationdata\black\12800\raw_stream_normal_1920x1080_16_GR_0205175518026_[FN=10,US=83317,AG=131072,DG=1024,BV=-283299,R=2631,G=1024,B=1986].raw","mis20s1_calibrationdata\black\12800\raw_stream_normal_1920x1080_16_GR_0205175518026_[FN=10,US=83317,AG=131072,DG=1024,BV=-283299,R=2631,G=1024,B=1986].raw",calibration,black,12800,50,207360000,True,10,83317,131072,128.0,1024,1.0,-283299,2631,1024,1986,128.0
"D:\zhuo mian\Sigmastar_7_30\mis20s1_calibrationdata\black\1600\raw_stream_normal_1920x1080_16_GR_0205175401348_[FN=10,US=83317,AG=16384,DG=1024,BV=-234147,R=2631,G=1024,B=1986].raw","mis20s1_calibrationdata\black\1600\raw_stream_normal_1920x1080_16_GR_0205175401348_[FN=10,US=83317,AG=16384,DG=1024,BV=-234147,R=2631,G=1024,B=1986].raw",calibration,black,1600,50,207360000,True,10,83317,16384,16.0,1024,1.0,-234147,2631,1024,1986,16.0
"D:\zhuo mian\Sigmastar_7_30\mis20s1_calibrationdata\black\200\raw_stream_normal_1920x1080_16_GR_0205175245601_[FN=10,US=83317,AG=2048,DG=1024,BV=-184995,R=2631,G=1024,B=1986].raw","mis20s1_calibrationdata\black\200\raw_stream_normal_1920x1080_16_GR_0205175245601_[FN=10,US=83317,AG=2048,DG=1024,BV=-184995,R=2631,G=1024,B=1986].raw",calibration,black,200,50,207360000,True,10,83317,2048,2.0,1024,1.0,-184995,2631,1024,1986,2.0
"D:\zhuo mian\Sigmastar_7_30\mis20s1_calibrationdata\black\25600\raw_stream_normal_1920x1080_16_GR_0205175549943_[FN=10,US=83317,AG=262144,DG=1024,BV=-299683,R=2631,G=1024,B=1986].raw","mis20s1_calibrationdata\black\25600\raw_stream_normal_1920x1080_16_GR_0205175549943_[FN=10,US=83317,AG=262144,DG=1024,BV=-299683,R=2631,G=1024,B=1986].raw",calibration,black,25600,50,207360000,True,10,83317,262144,256.0,1024,1.0,-299683,2631,1024,1986,256.0
"D:\zhuo mian\Sigmastar_7_30\mis20s1_calibrationdata\black\3200\raw_stream_normal_1920x1080_16_GR_0205175419790_[FN=10,US=83317,AG=32768,DG=1024,BV=-250531,R=2631,G=1024,B=1986].raw","mis20s1_calibrationdata\black\3200\raw_stream_normal_1920x1080_16_GR_0205175419790_[FN=10,US=83317,AG=32768,DG=1024,BV=-250531,R=2631,G=1024,B=1986].raw",calibration,black,3200,50,207360000,True,10,83317,32768,32.0,1024,1.0,-250531,2631,1024,1986,32.0
"D:\zhuo mian\Sigmastar_7_30\mis20s1_calibrationdata\black\400\raw_stream_normal_1920x1080_16_GR_0205175308935_[FN=10,US=83317,AG=4096,DG=1024,BV=-201379,R=2631,G=1024,B=1986].raw","mis20s1_calibrationdata\black\400\raw_stream_normal_1920x1080_16_GR_0205175308935_[FN=10,US=83317,AG=4096,DG=1024,BV=-201379,R=2631,G=1024,B=1986].raw",calibration,black,400,50,207360000,True,10,83317,4096,4.0,1024,1.0,-201379,2631,1024,1986,4.0
"D:\zhuo mian\Sigmastar_7_30\mis20s1_calibrationdata\black\6400\raw_stream_normal_1920x1080_16_GR_0205175442048_[FN=10,US=83317,AG=65536,DG=1024,BV=-266915,R=2631,G=1024,B=1986].raw","mis20s1_calibrationdata\black\6400\raw_stream_normal_1920x1080_16_GR_0205175442048_[FN=10,US=83317,AG=65536,DG=1024,BV=-266915,R=2631,G=1024,B=1986].raw",calibration,black,6400,50,207360000,True,10,83317,65536,64.0,1024,1.0,-266915,2631,1024,1986,64.0
"D:\zhuo mian\Sigmastar_7_30\mis20s1_calibrationdata\black\800\raw_stream_normal_1920x1080_16_GR_0205175339636_[FN=10,US=83317,AG=8192,DG=1024,BV=-217763,R=2631,G=1024,B=1986].raw","mis20s1_calibrationdata\black\800\raw_stream_normal_1920x1080_16_GR_0205175339636_[FN=10,US=83317,AG=8192,DG=1024,BV=-217763,R=2631,G=1024,B=1986].raw",calibration,black,800,50,207360000,True,10,83317,8192,8.0,1024,1.0,-217763,2631,1024,1986,8.0
"D:\zhuo mian\Sigmastar_7_30\mis20s1_calibrationdata\color\100\raw_stream_normal_1920x1080_16_GR_0205173227758_[FN=10,US=83317,AG=1024,DG=1024,BV=-24417,R=2299,G=1024,B=1952].raw","mis20s1_calibrationdata\color\100\raw_stream_normal_1920x1080_16_GR_0205173227758_[FN=10,US=83317,AG=1024,DG=1024,BV=-24417,R=2299,G=1024,B=1952].raw",calibration,color,100,50,207360000,True,10,83317,1024,1.0,1024,1.0,-24417,2299,1024,1952,1.0
"D:\zhuo mian\Sigmastar_7_30\mis20s1_calibrationdata\color\12800\raw_stream_normal_1920x1080_16_GR_0205174434739_[FN=10,US=623,AG=131072,DG=1071,BV=-23609,R=2420,G=1024,B=1908].raw","mis20s1_calibrationdata\color\12800\raw_stream_normal_1920x1080_16_GR_0205174434739_[FN=10,US=623,AG=131072,DG=1071,BV=-23609,R=2420,G=1024,B=1908].raw",calibration,color,12800,50,207360000,True,10,623,131072,128.0,1071,1.0458984375,-23609,2420,1024,1908,128.0
"D:\zhuo mian\Sigmastar_7_30\mis20s1_calibrationdata\color\1600\raw_stream_normal_1920x1080_16_GR_0205174019158_[FN=10,US=5186,AG=16384,DG=1028,BV=-22874,R=2316,G=1024,B=1983].raw","mis20s1_calibrationdata\color\1600\raw_stream_normal_1920x1080_16_GR_0205174019158_[FN=10,US=5186,AG=16384,DG=1028,BV=-22874,R=2316,G=1024,B=1983].raw",calibration,color,1600,50,207360000,True,10,5186,16384,16.0,1028,1.00390625,-22874,2316,1024,1983,16.0
"D:\zhuo mian\Sigmastar_7_30\mis20s1_calibrationdata\color\200\raw_stream_normal_1920x1080_16_GR_0205173424232_[FN=10,US=41659,AG=2048,DG=1024,BV=-25117,R=2310,G=1024,B=1980].raw","mis20s1_calibrationdata\color\200\raw_stream_normal_1920x1080_16_GR_0205173424232_[FN=10,US=41659,AG=2048,DG=1024,BV=-25117,R=2310,G=1024,B=1980].raw",calibration,color,200,50,207360000,True,10,41659,2048,2.0,1024,1.0,-25117,2310,1024,1980,2.0
"D:\zhuo mian\Sigmastar_7_30\mis20s1_calibrationdata\color\25600\raw_stream_normal_1920x1080_16_GR_0205174518964_[FN=10,US=326,AG=262144,DG=1024,BV=-24141,R=2484,G=1024,B=1933].raw","mis20s1_calibrationdata\color\25600\raw_stream_normal_1920x1080_16_GR_0205174518964_[FN=10,US=326,AG=262144,DG=1024,BV=-24141,R=2484,G=1024,B=1933].raw",calibration,color,25600,50,207360000,True,10,326,262144,256.0,1024,1.0,-24141,2484,1024,1933,256.0
"D:\zhuo mian\Sigmastar_7_30\mis20s1_calibrationdata\color\3200\raw_stream_normal_1920x1080_16_GR_0205174119530_[FN=10,US=2578,AG=32768,DG=1034,BV=-23174,R=2316,G=1024,B=1983].raw","mis20s1_calibrationdata\color\3200\raw_stream_normal_1920x1080_16_GR_0205174119530_[FN=10,US=2578,AG=32768,DG=1034,BV=-23174,R=2316,G=1024,B=1983].raw",calibration,color,3200,50,207360000,True,10,2578,32768,32.0,1034,1.009765625,-23174,2316,1024,1983,32.0
"D:\zhuo mian\Sigmastar_7_30\mis20s1_calibrationdata\color\400\raw_stream_normal_1920x1080_16_GR_0205173607994_[FN=10,US=20830,AG=4096,DG=1024,BV=-25282,R=2304,G=1024,B=1982].raw","mis20s1_calibrationdata\color\400\raw_stream_normal_1920x1080_16_GR_0205173607994_[FN=10,US=20830,AG=4096,DG=1024,BV=-25282,R=2304,G=1024,B=1982].raw",calibration,color,400,50,207360000,True,10,20830,4096,4.0,1024,1.0,-25282,2304,1024,1982,4.0
"D:\zhuo mian\Sigmastar_7_30\mis20s1_calibrationdata\color\6400\raw_stream_normal_1920x1080_16_GR_0205174305901_[FN=10,US=1275,AG=65536,DG=1046,BV=-23138,R=2353,G=1024,B=1869].raw","mis20s1_calibrationdata\color\6400\raw_stream_normal_1920x1080_16_GR_0205174305901_[FN=10,US=1275,AG=65536,DG=1046,BV=-23138,R=2353,G=1024,B=1869].raw",calibration,color,6400,50,207360000,True,10,1275,65536,64.0,1046,1.021484375,-23138,2353,1024,1869,64.0
"D:\zhuo mian\Sigmastar_7_30\mis20s1_calibrationdata\color\800\raw_stream_normal_1920x1080_16_GR_0205173829970_[FN=10,US=10400,AG=8192,DG=1025,BV=-25381,R=2316,G=1024,B=1983].raw","mis20s1_calibrationdata\color\800\raw_stream_normal_1920x1080_16_GR_0205173829970_[FN=10,US=10400,AG=8192,DG=1025,BV=-25381,R=2316,G=1024,B=1983].raw",calibration,color,800,50,207360000,True,10,10400,8192,8.0,1025,1.0009765625,-25381,2316,1024,1983,8.0
"D:\zhuo mian\Sigmastar_7_30\mis20s1_outdoor\1000x\raw_stream_1920x1080_16bit@RG_[Shutter=79999,SenserG=131072,IspG=8192,R=1829,G=1024,B=2349].raw","mis20s1_outdoor\1000x\raw_stream_1920x1080_16bit@RG_[Shutter=79999,SenserG=131072,IspG=8192,R=1829,G=1024,B=2349].raw",mis20s1_outdoor,scene,1000x,200,829440000,True,,79999,131072,128.0,8192,8.0,,1829,1024,2349,1000.0
"D:\zhuo mian\Sigmastar_7_30\mis20s1_outdoor\128x\raw_stream_1920x1080_16bit@RG_[Shutter=79999,SenserG=131072,IspG=1123,R=1896,G=1024,B=2221].raw","mis20s1_outdoor\128x\raw_stream_1920x1080_16bit@RG_[Shutter=79999,SenserG=131072,IspG=1123,R=1896,G=1024,B=2221].raw",mis20s1_outdoor,scene,128x,200,829440000,True,,79999,131072,128.0,1123,1.0966796875,,1896,1024,2221,128.0
"D:\zhuo mian\Sigmastar_7_30\mis20s1_outdoor\1500x\raw_stream_1920x1080_16bit@RG_[Shutter=79999,SenserG=131072,IspG=10455,R=1679,G=1024,B=2473].raw","mis20s1_outdoor\1500x\raw_stream_1920x1080_16bit@RG_[Shutter=79999,SenserG=131072,IspG=10455,R=1679,G=1024,B=2473].raw",mis20s1_outdoor,scene,1500x,195,808704000,True,,79999,131072,128.0,10455,10.2099609375,,1679,1024,2473,1500.0
"D:\zhuo mian\Sigmastar_7_30\mis20s1_outdoor\512x\raw_stream_1920x1080_16bit@RG_[Shutter=79999,SenserG=131072,IspG=3957,R=1837,G=1024,B=2283].raw","mis20s1_outdoor\512x\raw_stream_1920x1080_16bit@RG_[Shutter=79999,SenserG=131072,IspG=3957,R=1837,G=1024,B=2283].raw",mis20s1_outdoor,scene,512x,198,821145600,True,,79999,131072,128.0,3957,3.8642578125,,1837,1024,2283,512.0
"D:\zhuo mian\Sigmastar_7_30\shdarkroom\1000x\raw_stream_1920x1080_16bit@RG_[Shutter=79999,SenserG=131072,IspG=7656,R=1878,G=1024,B=2218].raw","shdarkroom\1000x\raw_stream_1920x1080_16bit@RG_[Shutter=79999,SenserG=131072,IspG=7656,R=1878,G=1024,B=2218].raw",shdarkroom,scene,1000x,200,829440000,True,,79999,131072,128.0,7656,7.4765625,,1878,1024,2218,1000.0
