scene,shard,frame,noisy_psnr,wt_psnr,wt_ssim
1,0,0,25.985258780112886,32.91266816518553,0.8665226133086795
1,0,1,25.438200898893637,31.912965081145064,0.8413996500045356
1,0,2,25.701374560486023,32.45090523984617,0.8553254813292382
1,0,3,25.50694250861708,32.154063547425736,0.8481655392047864
1,0,4,25.784076706897384,32.39972918342806,0.8486240209682279
1,0,5,25.290567289925555,31.55463226289999,0.8359142333137911
1,0,6,25.234595161029144,31.219781811791087,0.8284417016653094
1,0,7,25.316090050442096,31.618034761310664,0.8331342622626389
1,0,8,25.619985426451798,32.20397186859419,0.8493536425768093
1,0,9,25.687849120153597,32.19811558028062,0.8458410959804483
1,0,10,25.367762227065068,31.773771794610333,0.8387059387584935
1,0,11,25.5625529657819,32.168399032359794,0.8503106255334706
1,0,12,25.623916585305683,32.24689205337501,0.8514667142875598
1,0,13,25.49290557552231,32.03014162241426,0.8464259733988594
1,0,14,25.28654114887342,31.552288318278904,0.8397252575783702
1,0,15,25.43754685737349,31.981535304500724,0.847894624220403
1,0,16,25.66248330315988,32.208661709321795,0.8499187228935922
1,0,17,25.294215533995306,31.6156077419669,0.841486819733843
1,0,18,25.505110567023795,32.07550229566601,0.8501365156187939
1,0,19,25.277350845737587,31.512935020045262,0.8379044979252317
1,0,20,25.159794945022664,31.126494534201434,0.8250279044302076
1,0,21,25.272238603984405,31.642639199974063,0.8392395598085313
1,0,22,25.3042572131068,31.6724376800368,0.8410624934168874
1,0,23,25.73412986801825,32.30978603861824,0.8502247966044452
1,0,24,25.325579036374982,31.667073272295262,0.8383477970500153
1,0,25,25.498158788847384,32.04814806725104,0.8479541966158387
1,0,26,25.629374403994607,32.162564723420445,0.8514306150595303
1,0,27,25.512468468822863,31.94350757130589,0.8464812065435195
1,0,28,25.582613030916352,32.097537394183036,0.8481079600423298
1,0,29,25.636950659038998,32.13589889642893,0.8481911407190293
1,1,0,25.6711221428888,32.10652868203371,0.8491094938678558
1,1,1,25.77372837954743,32.08812805162604,0.8421742679633878
