scene,frame,method,mse,psnr,ssim,static_mse,moving_mae
scene_4,0,noisy,0.0001129597,39.470766,0.987094,770.567017,
scene_4,0,2dnr,0.0001129171,39.472404,0.987101,768.785156,
scene_4,0,dataset_3dnr,0.0000454765,43.422127,0.994512,124.188034,
scene_4,0,ghost3dnr,0.0001129597,39.470766,0.987094,770.567017,
scene_4,1,noisy,0.0000992656,40.032014,0.989015,662.000732,60.696888
scene_4,1,2dnr,0.0000992188,40.034059,0.989021,660.044128,60.698341
scene_4,1,dataset_3dnr,0.0000413536,43.834867,0.994747,129.725769,52.525726
scene_4,1,ghost3dnr,0.0001252007,39.023931,0.987076,618.273376,114.900429
scene_4,2,noisy,0.0001126028,39.484507,0.987003,766.464661,63.071686
scene_4,2,2dnr,0.0001125580,39.486235,0.987014,764.681152,63.071938
scene_4,2,dataset_3dnr,0.0000408354,43.889628,0.994711,123.832832,58.471146
scene_4,2,ghost3dnr,0.0001122642,39.497588,0.988696,498.614258,95.367325
scene_4,3,noisy,0.0001132957,39.457867,0.986906,771.452026,63.891991
scene_4,3,2dnr,0.0001132516,39.459558,0.986913,769.723389,63.891544
scene_4,3,dataset_3dnr,0.0000403384,43.942813,0.994845,121.821083,56.553474
scene_4,3,ghost3dnr,0.0000968423,40.139349,0.990620,396.762512,92.882477
scene_4,4,noisy,0.0001127254,39.479781,0.987002,769.315491,63.870815
scene_4,4,2dnr,0.0001126814,39.481478,0.987010,767.552124,63.870834
scene_4,4,dataset_3dnr,0.0000398664,43.993927,0.994820,124.952507,55.448071
scene_4,4,ghost3dnr,0.0000853802,40.686427,0.991853,325.298828,88.315628
scene_4,5,noisy,0.0001124863,39.489002,0.987235,764.222778,64.272636
scene_4,5,2dnr,0.0001124412,39.490745,0.987244,762.467163,64.273438
scene_4,5,dataset_3dnr,0.0000397780,44.003573,0.994830,123.608734,55.830021
scene_4,5,ghost3dnr,0.0000787557,41.037182,0.992748,268.597015,88.660858
scene_4,6,noisy,0.0001128409,39.475336,0.987062,769.389221,64.604294
scene_4,6,2dnr,0.0001127975,39.477004,0.987068,767.621216,64.603737
scene_4,6,dataset_3dnr,0.0000397934,44.001894,0.994745,124.500084,55.823650
scene_4,6,ghost3dnr,0.0000727270,41.383041,0.993303,233.761826,86.267326
scene_4,7,noisy,0.0001130166,39.468579,0.986854,768.944580,63.813206
scene_4,7,2dnr,0.0001129710,39.470330,0.986862,767.163696,63.813744
scene_4,7,dataset_3dnr,0.0000401214,43.966234,0.994737,123.226280,56.313431
scene_4,7,ghost3dnr,0.0000723283,41.406920,0.993743,197.734573,89.600014
scene_4,8,noisy,0.0001136958,39.442557,0.986799,774.865234,64.143387
scene_4,8,2dnr,0.0001136516,39.444244,0.986808,773.093689,64.143181
scene_4,8,dataset_3dnr,0.0000402485,43.952502,0.994772,123.218193,55.893364
scene_4,8,ghost3dnr,0.0000659906,41.805180,0.994302,172.198593,85.754219
scene_4,9,noisy,0.0001132332,39.460263,0.987246,765.066284,64.175583
scene_4,9,2dnr,0.0001131890,39.461959,0.987253,763.284485,64.175819
scene_4,9,dataset_3dnr,0.0000400874,43.969919,0.994901,122.326683,56.001362
scene_4,9,ghost3dnr,0.0000641538,41.927776,0.994548,149.755646,86.074707
scene_4,10,noisy,0.0000990206,40.042745,0.988979,656.598755,60.368069
scene_4,10,2dnr,0.0000989738,40.044797,0.988985,654.633850,60.368488
scene_4,10,dataset_3dnr,0.0000393115,44.054807,0.994920,124.274796,55.352234
