scene,frame,method,mse,psnr,ssim,static_mse,moving_mae
scene_1,0,noisy,0.0001789881,37.471758,0.988239,,
scene_1,0,2dnr,0.0001789555,37.472551,0.988244,,
scene_1,0,dataset_3dnr,0.0000987308,40.055475,0.995490,,
scene_1,0,ghost3dnr,0.0001789881,37.471758,0.988239,,
scene_1,1,noisy,0.0001645962,37.835802,0.989609,,56.038219
scene_1,1,2dnr,0.0001645618,37.836710,0.989614,,56.038128
scene_1,1,dataset_3dnr,0.0000911307,40.403351,0.995529,,54.661034
scene_1,1,ghost3dnr,0.0002384640,36.225772,0.986019,,96.691856
scene_1,2,noisy,0.0001772915,37.513120,0.988511,,53.978653
scene_1,2,2dnr,0.0001772586,37.513926,0.988515,,53.978077
scene_1,2,dataset_3dnr,0.0000964469,40.157116,0.995559,,53.780540
scene_1,2,ghost3dnr,0.0002272423,36.435108,0.986966,,80.655930
scene_1,3,noisy,0.0001761451,37.541295,0.988504,,56.796696
scene_1,3,2dnr,0.0001761125,37.542098,0.988509,,56.795868
scene_1,3,dataset_3dnr,0.0000883604,40.537425,0.995707,,53.818432
scene_1,3,ghost3dnr,0.0003688939,34.330986,0.986297,,102.343277
scene_1,4,noisy,0.0001731806,37.615007,0.988643,,54.704136
scene_1,4,2dnr,0.0001731483,37.615816,0.988649,,54.703094
scene_1,4,dataset_3dnr,0.0000875432,40.577774,0.995801,,51.442112
scene_1,4,ghost3dnr,0.0005264236,32.786647,0.985200,,128.919647
scene_1,5,noisy,0.0001729386,37.621081,0.988820,,57.101074
scene_1,5,2dnr,0.0001729052,37.621919,0.988824,,57.099949
scene_1,5,dataset_3dnr,0.0000814424,40.891495,0.996055,,51.730179
scene_1,5,ghost3dnr,0.0015389984,28.127618,0.982493,,140.842728
scene_1,6,noisy,0.0001749415,37.571072,0.988267,,55.396336
scene_1,6,2dnr,0.0001749087,37.571885,0.988271,,55.395462
scene_1,6,dataset_3dnr,0.0000959969,40.177427,0.995419,,56.221478
scene_1,6,ghost3dnr,0.0042240303,23.742730,0.973251,,189.443359
scene_1,7,noisy,0.0001754825,37.557661,0.988509,,52.884426
scene_1,7,2dnr,0.0001754503,37.558458,0.988515,,52.884449
scene_1,7,dataset_3dnr,0.0001029352,39.874361,0.994741,,55.073029
