scene,frame,method,mse,psnr,ssim,static_mse,moving_mae
scene_2,0,noisy,0.0001135457,39.448292,0.987054,765.219727,
scene_2,0,2dnr,0.0001135014,39.449990,0.987061,763.463501,
scene_2,0,dataset_3dnr,0.0000466462,43.311834,0.994496,125.560143,
scene_2,0,ghost3dnr,0.0001135457,39.448292,0.987054,765.219727,
scene_2,1,noisy,0.0000994860,40.022379,0.988840,656.277405,59.396389
scene_2,1,2dnr,0.0000994375,40.024499,0.988850,654.272461,59.395634
scene_2,1,dataset_3dnr,0.0000426256,43.703296,0.994777,129.463852,52.739540
scene_2,1,ghost3dnr,0.0001293100,38.883678,0.987027,611.551208,111.118752
scene_2,2,noisy,0.0001126035,39.484480,0.986751,761.827087,61.829403
scene_2,2,2dnr,0.0001125582,39.486228,0.986759,760.070007,61.829460
scene_2,2,dataset_3dnr,0.0000434507,43.620036,0.994763,122.511627,59.984211
scene_2,2,ghost3dnr,0.0001130540,39.467141,0.988598,493.125885,90.805458
scene_2,3,noisy,0.0001137569,39.440221,0.986951,772.258728,63.688419
scene_2,3,2dnr,0.0001137131,39.441893,0.986960,770.486755,63.687683
scene_2,3,dataset_3dnr,0.0000418266,43.785477,0.994749,125.345428,56.596375
scene_2,3,ghost3dnr,0.0001020107,39.913544,0.990530,398.088531,93.928291
scene_2,4,noisy,0.0001129626,39.470655,0.987055,762.307861,62.429478
scene_2,4,2dnr,0.0001129174,39.472393,0.987064,760.485657,62.429028
scene_2,4,dataset_3dnr,0.0000414706,43.822594,0.994685,124.912773,55.767670
scene_2,4,ghost3dnr,0.0000933361,40.299502,0.991605,326.494781,92.974998
scene_2,5,noisy,0.0001126340,39.483306,0.987152,757.854858,64.426521
scene_2,5,2dnr,0.0001125888,39.485047,0.987159,756.032654,64.425987
scene_2,5,dataset_3dnr,0.0000410617,43.865633,0.994691,121.615517,56.947502
scene_2,5,ghost3dnr,0.0000863836,40.635685,0.992719,277.442047,92.595802
scene_2,6,noisy,0.0001130672,39.466632,0.987048,770.045715,63.113380
scene_2,6,2dnr,0.0001130225,39.468352,0.987055,768.238831,63.113033
scene_2,6,dataset_3dnr,0.0000414719,43.822462,0.994631,125.728172,57.081516
scene_2,6,ghost3dnr,0.0000801162,40.962798,0.993288,238.501266,90.148827
scene_2,7,noisy,0.0001130504,39.467278,0.986926,767.340637,63.780029
scene_2,7,2dnr,0.0001130073,39.468937,0.986933,765.559387,63.780083
scene_2,7,dataset_3dnr,0.0000401156,43.966866,0.994696,122.777603,55.379658
scene_2,7,ghost3dnr,0.0000744326,41.282368,0.993990,206.937286,88.146729
scene_2,8,noisy,0.0001137365,39.441001,0.986634,769.199158,63.532654
scene_2,8,2dnr,0.0001136917,39.442711,0.986643,767.400269,63.532860
scene_2,8,dataset_3dnr,0.0000419281,43.774945,0.994676,124.788155,58.513973
scene_2,8,ghost3dnr,0.0000752842,41.232964,0.994318,181.136414,94.299484
scene_2,9,noisy,0.0001130376,39.467771,0.987100,763.267578,63.606892
scene_2,9,2dnr,0.0001129932,39.469477,0.987108,761.474976,63.606457
scene_2,9,dataset_3dnr,0.0000401696,43.961030,0.994861,121.749763,54.972260
scene_2,9,ghost3dnr,0.0000684347,41.647236,0.994799,158.514862,87.155655
scene_2,10,noisy,0.0000985491,40.063474,0.988974,650.683533,59.531822
scene_2,10,2dnr,0.0000985003,40.065624,0.988984,648.649353,59.531284
scene_2,10,dataset_3dnr,0.0000420170,43.765752,0.994816,123.095329,59.127766
scene_2,10,ghost3dnr,0.0000839689,40.758818,0.994725,140.170227,100.196175
scene_2,11,noisy,0.0001028089,39.879692,0.988366,684.402344,60.057053
scene_2,11,2dnr,0.0001027626,39.881647,0.988373,682.462646,60.056828
scene_2,11,dataset_3dnr,0.0000404604,43.929694,0.994854,124.508217,54.338806
scene_2,11,ghost3dnr,0.0000672552,41.722742,0.995049,130.207306,87.053307
scene_2,12,noisy,0.0001134572,39.451681,0.986914,771.411987,64.405495
scene_2,12,2dnr,0.0001134134,39.453358,0.986923,769.625671,64.405342
scene_2,12,dataset_3dnr,0.0000410257,43.869439,0.994829,126.019035,57.408875
scene_2,12,ghost3dnr,0.0000692793,41.593966,0.995134,127.630997,91.029884
scene_2,13,noisy,0.0001133993,39.453895,0.986825,773.814026,63.257092
scene_2,13,2dnr,0.0001133560,39.455555,0.986835,772.010437,63.257137
scene_2,13,dataset_3dnr,0.0000414459,43.825184,0.994726,125.573647,57.080738
scene_2,13,ghost3dnr,0.0000626255,42.032486,0.995403,116.533134,87.026764
scene_2,14,noisy,0.0001134826,39.450706,0.986979,769.792419,64.447891
scene_2,14,2dnr,0.0001134377,39.452426,0.986987,768.023132,64.448227
scene_2,14,dataset_3dnr,0.0000408720,43.885743,0.994784,123.980537,56.601200
scene_2,14,ghost3dnr,0.0000635810,41.966729,0.995483,111.272072,86.907532
scene_2,15,noisy,0.0001133862,39.454399,0.987070,769.175476,62.713612
scene_2,15,2dnr,0.0001133421,39.456089,0.987081,767.385986,62.713108
scene_2,15,dataset_3dnr,0.0000415003,43.819491,0.994788,122.524643,57.253700
scene_2,15,ghost3dnr,0.0000619976,42.076252,0.995489,106.450058,88.479057
scene_2,16,noisy,0.0000990152,40.042981,0.988928,648.794434,60.431957
scene_2,16,2dnr,0.0000989681,40.045046,0.988938,646.847656,60.431324
scene_2,16,dataset_3dnr,0.0000390922,44.079103,0.994900,123.230492,54.730011
scene_2,16,ghost3dnr,0.0000586752,42.315453,0.995716,102.218582,84.268410
scene_2,17,noisy,0.0001134374,39.452439,0.986968,762.959106,62.897861
scene_2,17,2dnr,0.0001133933,39.454127,0.986977,761.177307,62.898277
scene_2,17,dataset_3dnr,0.0000421063,43.756525,0.994716,123.450256,58.839497
